date,open,high,low,close,volume
2021-01-01,29255.71,29682.29,28707.56,29676.79,848.87403
2021-01-02,29678.34,34200.0,29555.99,33769.52,2144.592516
2021-01-03,33769.52,34812.93,32300.61,32908.02,1838.695433
2021-01-04,32907.36,33496.03,27900.0,30441.57,2711.189503
2021-01-05,30461.84,35851.42,29927.55,35063.0,1756.751333
2021-01-06,35088.23,37810.0,33700.0,37485.27,1897.568734
2021-01-07,37486.29,40410.02,35936.73,38009.79,2710.620043
2021-01-08,38018.16,41999.0,37595.44,39379.24,2199.033127
2021-01-09,39301.47,41446.85,38789.12,40547.42,1133.603814
2021-01-10,40544.78,41150.0,33550.0,34860.75,2961.388435
2021-01-11,34883.83,36357.78,30365.5,35892.58,3881.031504
2021-01-12,35894.6,36610.52,32357.25,33284.02,2034.619943
2021-01-13,33284.04,38181.93,33160.88,37546.57,1929.205192
2021-01-14,37549.9,40100.0,37460.29,37800.02,1282.270458
2021-01-15,37800.02,38745.3,34362.01,35859.45,1604.522965
2021-01-16,35865.83,37954.56,35370.0,35562.63,902.572116
2021-01-17,35558.07,36846.47,33850.0,35349.37,883.104108
2021-01-18,35341.8,37434.5,35069.0,36312.15,824.678591
2021-01-19,36310.33,37866.15,34779.05,35505.69,972.825907
2021-01-20,35505.69,35942.45,33433.2,34569.16,1008.849125
2021-01-21,34569.19,34997.39,28951.58,31795.0,3123.308189
2021-01-22,31824.6,33868.4,30444.19,33384.16,1036.631931
2021-01-23,33397.09,33490.65,31418.57,32872.34,539.931189
2021-01-24,32894.73,33809.56,30950.03,33324.95,680.291359
2021-01-25,33350.0,34888.0,31421.89,32097.0,831.863898
2021-01-26,32080.13,32968.54,30852.0,31548.05,722.496795
2021-01-27,31553.56,32010.0,29256.82,31778.65,1583.715237
2021-01-28,31794.12,34400.0,30840.9,33045.47,1510.908261
2021-01-29,33055.88,38673.14,31977.13,33517.18,2694.9827
2021-01-30,33517.18,34836.61,33143.57,33761.43,728.078992
2021-01-31,33773.39,34219.1,32200.0,33787.13,806.918374
2021-02-01,33787.67,34707.6,33136.11,34009.33,959.144331
2021-02-02,34027.73,36916.24,33954.16,36510.08,1091.302183
2021-02-03,36506.68,38431.27,35561.35,37646.6,1120.459803
2021-02-04,37634.49,38747.61,36182.22,37108.52,1591.085136
2021-02-05,37102.75,39699.95,37070.01,39051.0,1153.670297
2021-02-06,39054.2,41019.93,38000.0,38571.85,1238.672877
2021-02-07,38565.36,39736.17,37383.51,38700.0,932.225474
2021-02-08,38712.8,47500.0,38658.96,46964.37,2876.161989
2021-02-09,46957.6,48203.13,45040.0,46166.35,1420.610386
2021-02-10,46168.8,47371.09,43750.0,44675.1,1361.970634
2021-02-11,44697.12,48969.45,44444.48,47289.12,1765.386034
2021-02-12,47289.12,48224.1,46231.52,47960.94,934.058092
2021-02-13,47960.94,48997.7,46285.0,48938.82,804.437966
2021-02-14,48942.87,49730.0,45691.42,46773.29,1209.900633
2021-02-15,46765.0,49975.0,46727.34,49185.11,1035.488307
2021-02-16,49168.5,50623.0,47800.0,49711.98,1299.085662
2021-02-17,49720.34,52644.51,49630.0,52200.0,1447.308943
2021-02-18,52194.82,52278.77,50732.0,51506.26,1033.457996
2021-02-19,51512.1,56615.62,51487.36,55683.65,1706.062977
2021-02-20,55691.78,57572.0,54000.0,56570.0,1134.234493
2021-02-21,56570.0,58355.03,55156.52,55865.52,1002.137833
2021-02-22,55894.74,56640.28,47303.68,49950.09,2826.614714
2021-02-23,49950.08,51399.11,45000.0,50217.25,3008.961804
2021-02-24,50211.36,51402.65,48054.15,50440.62,1427.023642
2021-02-25,50430.78,52050.0,45297.57,45499.29,1623.067066
2021-02-26,45499.3,48446.11,44112.21,47791.28,1253.167996
2021-02-27,47799.99,48375.86,44239.59,44803.83,947.264824
2021-02-28,44821.68,46999.68,43020.0,46235.25,1329.783722
2021-03-01,46235.25,50273.12,45688.43,48703.55,1387.380036
2021-03-02,48703.02,49745.32,47067.99,49132.93,782.046938
2021-03-03,49146.59,52644.44,49001.58,49708.29,1503.190121
2021-03-04,49699.49,50771.99,46256.38,47143.6,1248.700148
2021-03-05,47155.97,49472.53,46436.91,48450.01,965.82272
2021-03-06,48481.8,49912.09,47074.63,49364.28,636.939124
2021-03-07,49364.28,51831.9,49091.4,50807.58,845.934967
2021-03-08,50800.02,54421.44,49329.8,54281.56,1007.561091
2021-03-09,54254.01,55835.43,53038.45,53657.62,1145.798874
2021-03-10,53674.83,57418.6,53536.53,55241.5,1038.171332
2021-03-11,55241.5,58172.9,54275.5,57182.06,991.725718
2021-03-12,57166.16,57737.63,55051.0,56764.86,843.906824
2021-03-13,56745.29,61790.24,56497.11,61027.96,1037.456482
2021-03-14,61000.01,61082.89,58658.03,59765.08,759.19615
2021-03-15,59734.18,59930.47,53223.0,54406.38,1684.637332
2021-03-16,54398.29,57189.78,53550.0,55583.84,878.705334
2021-03-17,55566.58,59555.0,54111.95,58814.92,1082.85383
2021-03-18,58818.6,60099.0,56240.5,57882.46,798.5158
2021-03-19,57882.45,59455.07,57489.99,58232.18,592.509607
2021-03-20,58215.62,59944.61,56754.44,56933.15,563.571496
2021-03-21,56900.18,58146.89,55509.0,57600.0,598.563919
2021-03-22,57600.0,58427.14,53707.5,54424.88,1014.364672
2021-03-23,54424.02,55839.36,53000.0,54101.73,942.099039
2021-03-24,54119.51,57190.63,51500.27,52253.12,1324.833236
2021-03-25,52247.21,53231.67,50411.0,52709.82,1166.755824
2021-03-26,52713.85,55582.55,52413.1,55010.74,947.150454
2021-03-27,54985.38,56610.0,53962.32,56262.79,624.446485
2021-03-28,56269.39,56526.55,54698.57,55309.43,468.542315
2021-03-29,55294.61,58400.0,54900.7,57550.48,850.558602
2021-03-30,57550.47,59405.87,57360.29,58758.08,589.789997
2021-03-31,58758.0,59817.86,56800.0,58895.03,903.132496
2021-04-01,58895.5,60250.0,57908.54,59537.23,734.952428
2021-04-02,59549.26,59719.33,58440.32,59401.97,469.544635
2021-04-03,59401.97,59796.56,56382.48,57579.19,765.320142
2021-04-04,57575.46,58508.0,57058.82,57310.41,431.529377
2021-04-05,57310.2,59499.0,56819.12,58807.07,618.376235
2021-04-06,58807.07,59000.0,57215.98,57637.49,720.147641
2021-04-07,57646.46,58629.96,55437.11,56907.02,1478.267739
2021-04-08,56903.0,58400.0,56349.51,58193.36,617.531782
2021-04-09,58193.36,61171.56,57647.49,61010.95,848.30995
2021-04-10,61010.95,61250.0,58301.85,59868.55,876.234976
2021-04-11,59861.83,60568.65,59160.77,60051.19,498.996196
2021-04-12,60079.24,61210.99,59362.91,60517.63,969.46444
2021-04-13,60560.18,64293.06,60422.3,64286.05,1360.040619
2021-04-14,64286.05,64967.23,61208.0,62965.16,1623.438848
2021-04-15,62965.16,63866.3,61627.36,61695.13,840.557082
2021-04-16,61711.46,62561.4,60062.94,62271.48,1349.795389
2021-04-17,62269.52,62500.0,51722.01,55000.0,1772.171548
2021-04-18,55000.0,57401.64,53150.39,57052.0,2484.20005
2021-04-19,57052.0,57600.0,53520.66,55319.44,2420.555737
2021-04-20,55320.0,57117.1,53415.7,55431.8,2014.26823
2021-04-21,55431.79,56379.97,52600.0,54266.55,1701.800968
2021-04-22,54276.69,55459.57,48500.0,49147.47,2739.831835
2021-04-23,49132.2,51366.08,47475.0,50480.93,1910.420791
2021-04-24,50473.23,51079.24,48721.97,49656.48,1016.284477
2021-04-25,49679.19,52801.01,47011.0,52347.01,1843.711059
2021-04-26,52364.01,54413.68,52129.54,53527.55,1310.491523
2021-04-27,53528.84,55781.09,53489.22,54881.73,990.784933
2021-04-28,54886.13,56491.0,53580.0,53607.03,916.780184
2021-04-29,53607.03,54748.49,52352.95,54179.29,871.856003
2021-04-30,54176.58,58526.98,53954.85,58141.4,1312.256321
2021-05-01,58118.48,58472.0,56231.63,56948.84,581.582432
2021-05-02,56948.96,58316.94,56084.56,57846.84,683.703283
2021-05-03,57852.4,58978.28,54687.64,55860.24,1230.697383
2021-05-04,55860.7,56649.91,52946.9,54545.41,1585.145509
2021-05-05,54565.1,57997.16,53965.2,57011.83,1390.516232
2021-05-06,57016.22,58431.01,55263.11,55871.7,1296.601255
2021-05-07,55860.64,58719.85,55624.46,58118.42,1137.77739
2021-05-08,58118.42,59549.79,57548.69,58202.85,1478.502303
2021-05-09,58196.56,59586.81,56272.77,59240.0,937.35951
2021-05-10,59240.0,59500.0,53617.27,55374.76,1791.919874
2021-05-11,55385.29,58043.47,54655.65,57414.82,905.824264
2021-05-12,57421.48,57564.84,46302.22,50514.88,2870.355314
2021-05-13,50491.12,51413.21,47017.23,49222.32,2757.745797
2021-05-14,49254.58,51566.38,48925.0,49367.79,1327.351552
2021-05-15,49355.88,49777.45,46499.0,48101.33,1447.561285
2021-05-16,48099.99,49788.77,42200.0,43584.9,2957.116291
2021-05-17,43584.77,45822.27,42136.12,45358.15,2801.327096
2021-05-18,45361.33,45836.18,38500.0,39310.0,3200.405284
2021-05-19,39302.06,40767.57,30125.0,39477.17,6907.211148
2021-05-20,39475.19,42529.81,38209.65,40018.57,3879.508331
2021-05-21,40020.27,41772.79,33511.02,36349.98,4944.887341
2021-05-22,36347.23,38871.0,35262.75,37226.41,2630.089345
2021-05-23,37231.65,37352.79,31120.0,34935.48,5220.765007
2021-05-24,34926.53,39987.11,34822.07,38402.96,3213.149693
2021-05-25,38426.0,39729.52,36497.88,39440.94,2286.924128
2021-05-26,39427.86,40878.61,37195.49,37780.18,2768.343992
2021-05-27,37788.05,40425.27,37292.94,37367.39,2137.787424
2021-05-28,37357.7,37600.88,34711.85,35735.61,3810.201591
2021-05-29,35728.19,37307.84,33428.38,34754.31,3191.975308
2021-05-30,34754.28,36526.68,34185.6,34487.56,1761.283682
2021-05-31,34491.04,37900.0,34221.83,36754.85,2145.896753
2021-06-01,36750.0,37450.97,35670.68,36666.77,3094.346908
2021-06-02,36678.26,38222.0,36505.63,37973.25,1781.622481
2021-06-03,37973.25,39490.3,37400.0,37579.0,1986.222314
2021-06-04,37586.89,37858.0,35609.12,37694.07,2597.909546
2021-06-05,37709.89,37917.26,34835.06,36094.66,2798.257444
2021-06-06,36097.28,36804.71,35236.52,36277.14,1712.577684
2021-06-07,36268.2,36793.97,32401.72,32873.35,2435.715493
2021-06-08,32873.35,33874.25,31028.34,33000.0,2434.238152
2021-06-09,32993.19,37680.0,32929.29,36818.72,3117.079182
2021-06-10,36816.2,38441.05,35819.93,37056.87,2620.516893
2021-06-11,37073.51,37682.4,35114.74,35244.76,2065.59778
2021-06-12,35242.58,36217.06,34633.01,35200.54,1237.701681
2021-06-13,35185.5,39844.0,34837.2,39283.89,1910.387904
2021-06-14,39280.87,41050.92,38871.26,40522.49,2129.810934
